#,table,category,field_name,field_type,dropdown_id,on_c01985_screen,airtable_field_id
1,Case,Header,Case Number,formula,,yes,fldgtfo2DzUKEBYV9
2,Case,Case Overview,Referred Firm,link to record,,yes,fldCbuRKJLZOo1uFz
3,Case,Case Overview,Associate Counsel,link to record,,yes,fldV6qUkkkkCVwl2Q
4,Case,Case Overview,Resolutions Specialist,dropdown,D1,yes,fldYBUMkzPn2VzP2B
5,Case,Case Overview,Paralegal,dropdown,D2,yes,fldDBQwUWqdz1kbVa
6,Case,Case Overview,Department,dropdown,D3,yes,fldUbBRoVkDvGvkgm
7,Case,Case Overview,Case Status,dropdown,D4,yes,fldiYDUIY6GKN2GZf
8,Case,Case Overview,Next Steps,multi dropdown,D5,yes,fldg18SA1L4aDlylV
9,Case,Case Overview,Category Type,multi dropdown,D6,yes,fldQuERHXQ2DDJMCH
10,Case,Case Overview,DA/OC,dropdown,D7,yes,fldgrGdvGE2utozoB
11,Case,Case Overview,RS Due Date,date,,yes,fldC4tCwwkLUDlF5u
12,Case,Case Overview,PL Due Date,date,,yes,fldokz2afgvTrrwkZ
13,Case,Case Overview,Atty Due Date,date,,yes,fld05In451iAhnDLQ
14,Case,Case Overview,Atty Client Appt,date/time,,yes,fldWLSqnKRtFU1kMN
15,Case,Case Overview,Recent Client Comm Date,date,,yes,fldWnM8P1rIHqupm9
16,Case,Case Overview,Next Client Comm Due Date,formula,,yes,fldolGWAyYvyaRZ0F
17,Case,Case Notes,Law Firm Notes,long text,,yes,fld0iowHKEtJKfmOo
18,Case,Case Notes,Resolutions Notes,rich text,,yes,fldXZRJ3ZtJ5EGULM
19,Case,Case Notes,Attorney Only Notes,long text,,yes,fldy4AoJoE5pyPR69
20,Case,Case Notes,Accounting Notes,rich text,,yes,fldfNhcBHp4b0hJpH
21,Case,Email Correspondence,Email Correspondence PDF,file,,yes,fldf0YxSVW4roPZls
22,Case,Email Correspondence,Attorney Correspondence,file,,yes,fldeCwerZP21qxDfi
23,Case,Call Recordings,Call Recordings,file,,yes,fldte6hBXvrCjB8rV
24,Case,Client Details,Client Profile,rich text,,yes,fldBUVrIVp0uesl0e
25,Case,Client Details,Associated Case(s),link to record,,yes,fldHpsEmylzAtGlzf
26,Case,Client Details,Property Address,text,,yes,fldwDxMGyXKgbqA6y
27,Case,Client Details,Mailing Address,text,,yes,fldiEGgKGpT8mOYP2
28,Case,Client Details,Client Alt Phone Number,phone,,yes,fldxWJBShHjliRLfl
29,Case,Client Details,Client Phone Number,phone,,yes,fldMLTpVPdvl5vdru
30,Case,Client Details,Email,email,,yes,fld23ADDW0VeuYcpo
31,Case,Client Details,SMS Consent,dropdown,D8,yes,fldnAhTecVAoCjoHt
32,Case,Client Details,Client Rating,dropdown,D9,yes,fldQonfCXb9PsqDP2
33,Case,Client Details,Client Name,link to record,,yes,fldcJpgdshlA1WsUL
34,Case,Claim Details,Claim State,dropdown,D10,yes,flduWNWWULELPp2Jg
35,Case,Claim Details,Property Type,dropdown,D11,yes,fldf4uGWBKU4NMNQU
36,Case,Claim Details,Claim Number,text,,yes,fldiT1jmx3CQNCS8T
37,Case,Claim Details,Policy Number,text,,yes,fldznX4N1GHPhCtct
38,Case,Claim Details,Date of Loss,date,,yes,fld44cdvMJycDTGI7
39,Case,Claim Details,SOL Deadline,formula,,yes,fldYxmn03YEIHOMAW
40,Case,Claim Details,Date of Breach,date,,yes,fldk9IDNnTCKHOUSi
41,Case,Claim Details,DOB Deadline,formula,,yes,fldKhqi74RqcCg3oR
42,Case,Claim Details,Cause of Loss,multi dropdown,D12,yes,fld8A5gmr5Vvs3jZ2
43,Case,Claim Details,Claim Type,multi dropdown,D13,yes,fld2OgPpFo08Wh3Q3
44,Case,Claim Details,Contractor,dropdown,D14,yes,fldPQqRuhrfqzOEhq
45,Case,Claim Details,Total Loss,dropdown,D15,yes,fldzwfDpUW1nmjyh2
46,Case,Claim Details,RP Claim Summary for Litigation,long text,,yes,fld2ODyadsYbhBNPS
47,Case,Repair Estimate & Settlement Progress,Client Estimate Amount,money,,yes,fldNayASYskikvcBr
48,Case,Repair Estimate & Settlement Progress,Current IC Offer,money,,yes,fld9apmn2hbV0jYyy
49,Case,Repair Estimate & Settlement Progress,% of Est,formula,,yes,flddme7f1oISfxwlv
50,Case,Repair Estimate & Settlement Progress,IC RCV Estimate Amount,money,,yes,fldYgSYpvtvkqWxIx
51,Case,Repair Estimate & Settlement Progress,RCV Disputed Amount,formula,,yes,fld9FvfsanY6NHQnK
52,Case,Repair Estimate & Settlement Progress,Deductible Amount,money,,yes,fldtchNl4vABMkwlN
53,Case,Repair Estimate & Settlement Progress,Total Paid to Date,money,,yes,fldJuK1i3rINHuU8W
54,Case,Repair Estimate & Settlement Progress,Amount to Collect,formula,,yes,fldHezcQzyyU1qmNJ
55,Case,Retained Client Checklist,Certified Policy Received,checkbox,,yes,fldME7AjDxkCUVHDS
56,Case,Retained Client Checklist,IC Docs & Communications,checkbox,,yes,fld1D3iTdpOe3R61q
57,Case,Retained Client Checklist,Payment Summary (SOL) Received,checkbox,,yes,fld7EHwOBVeInSY0H
