dest_column,airtable_field_id,airtable_name,airtable_type,notes
airtable_id,,record id,recordId,match key; Airtable record id; not a field
case_number,fldgtfo2DzUKEBYV9,Case Number,formula,formula; dest exists; stay nullable until P37; do not recompute.
referred_firm,fldCbuRKJLZOo1uFz,Referred Firm,multipleRecordLinks,copy linked record id(s) as-is; blank stays blank
associate_counsel,fldV6qUkkkkCVwl2Q,Associate Counsel,multipleRecordLinks,copy linked record id(s) as-is; blank stays blank
resolutions_specialist,fldYBUMkzPn2VzP2B,Resolutions Specialist,singleSelect,copy stored choice as-is; blank stays blank
paralegal,fldDBQwUWqdz1kbVa,Paralegal,singleSelect,copy stored choice as-is; blank stays blank
department,fldUbBRoVkDvGvkgm,Department,singleSelect,copy stored choice as-is; blank stays blank
case_status,fldiYDUIY6GKN2GZf,Case Status,singleSelect,copy stored choice as-is; blank stays blank
next_steps,fldg18SA1L4aDlylV,Next Steps,multipleSelects,copy stored choice as-is; blank stays blank
category_type,fldQuERHXQ2DDJMCH,Category Type,multipleSelects,copy stored choice as-is; blank stays blank
da_oc,fldgrGdvGE2utozoB,DA/OC,singleSelect,copy stored choice as-is; blank stays blank
rs_due_date,fldC4tCwwkLUDlF5u,RS Due Date,date,copy stored date as-is; blank stays blank
pl_due_date,fldokz2afgvTrrwkZ,PL Due Date,date,copy stored date as-is; blank stays blank
atty_due_date,fld05In451iAhnDLQ,Atty Due Date,date,copy stored date as-is; blank stays blank
atty_client_appt,fldWLSqnKRtFU1kMN,Atty Client Appt,dateTime,copy stored date as-is; blank stays blank
recent_client_comm_date,fldWnM8P1rIHqupm9,Recent Client Comm Date,date,copy stored date as-is; blank stays blank
next_client_comm_due_date,fldolGWAyYvyaRZ0F,Next Client Comm Due Date,formula,formula; dest exists; stay nullable until P37; do not recompute.
law_firm_notes,fld0iowHKEtJKfmOo,Law Firm Notes,multilineText,copy stored value as-is; blank stays blank
resolutions_notes,fldXZRJ3ZtJ5EGULM,Resolutions Notes,richText,copy stored value as-is; blank stays blank
attorney_only_notes,fldy4AoJoE5pyPR69,Attorney Only Notes,multilineText,copy stored value as-is; blank stays blank
accounting_notes,fldfNhcBHp4b0hJpH,Accounting Notes,richText,copy stored value as-is; blank stays blank
